id,date,subject,gender,age,engaging,difficult,feedback,mycondition,myregret,mycf
2,2020/2/25,x3a19rmpu,female,23,8,2,,2,91,20
3,2020/2/25,ixa1mafme,male,24,10,0,,3,100,20
4,2020/2/25,kp6r7j3m7,female,24,8,3,"Once the rewards turned out to be 5$, I switch to the next.",5,18,20
5,2020/2/25,3uanxb7pg,male,41,10,0,,2,0,20
6,2020/2/25,3va482qpb,male,29,6,3,,3,16,5
7,2020/2/25,opayxftpz,male,30,9,0,,5,38,20
8,2020/2/25,k56yn0omr,male,35,7,1,,3,53,20
9,2020/2/25,zp6aydkmt,male,34,5,0,,1,0,20
10,2020/2/25,49aez3mpp,male,25,5,5,good task,5,45,60
11,2020/2/25,d4ayxmwpq,female,24,5,4,,5,90,20
12,2020/2/25,we6od32m4,female,25,7,0,,2,5,20
13,2020/2/25,tp69f8omp,male,48,10,3,,4,39,40
14,2020/2/25,eo6qtmgpk,male,31,5,5,,0,65,120
15,2020/2/25,daacoyqml,female,28,10,0,,4,79,20
16,2020/2/25,okaadgomy,female,24,9,0,,1,71,20
17,2020/2/25,3ra3mf2pi,female,33,10,0,,0,80,30
18,2020/2/25,ul6og2pmx,female,35,6,2,,3,27,30
19,2020/2/25,kz6zre6m9,male,29,10,0,,0,75,40
20,2020/2/25,oua5catmi,female,22,9,0,,2,68,40
21,2020/2/25,q5apb09mf,female,25,8,9,good,3,0,20
22,2020/2/25,xy6e9lomw,female,31,5,0,,2,89,20
23,2020/2/25,ln6702sp3,female,25,5,5,,1,56,495
24,2020/2/25,456fqq3m0,male,22,8,5,,0,68,80
25,2020/2/25,94ambocpx,female,51,10,1,I was happy with how the first was paying out so I stayed with it rather than keep risking a low payout by changing.,3,67,20
26,2020/2/25,mj6g0yspl,male,27,10,2,,2,84,60
27,2020/2/25,9c63cwxp1,male,28,6,4,,3,45,40
28,2020/2/25,x1685tjpt,male,34,9,1,I switched machines when I got the lowest payout and stayed with the same machine until it got to that point.,1,75,20
29,2020/2/25,9rainghp3,male,73,--,5,GOOD SURVEY,3,98,17
30,2020/2/25,haaoik1pd,female,28,8,8,good,5,73,50
31,2020/2/25,v0au7p4p8,male,28,10,0,,0,100,40
32,2020/2/25,0v66v9zmr,female,24,10,0,"Whenever the machine would draw $5, I would switch to the next machine and usually get a double digit number in response. When that would happen, I would collect from that same machine rather than switching.",3,69,20
33,2020/2/25,wi60j4ypy,female,31,10,5,,5,46,20
34,2020/2/25,bn6d18ypb,male,39,10,0,,2,100,40
35,2020/2/25,y4aaslrmo,male,29,3,8,,5,33,40
36,2020/2/25,v1678s0p3,male,38,10,0,,0,100,40
37,2020/2/25,4zascxmm5,male,40,4,1,,0,92,80
38,2020/2/25,b8a83jepm,--,,--,--,,3,99,10
39,2020/2/25,3aadcl1mx,female,34,10,2,,1,0,20
40,2020/2/25,mi62pfam6,male,30,5,4,,3,38,60
41,2020/2/25,1ua2vsgpx,female,48,7,0,Thank You!,3,7,300
42,2020/2/25,dp6xtkmm0,male,24,8,4,,1,53,6
43,2020/2/25,s1akt37pe,male,26,6,3,nice study,5,100,20
44,2020/2/25,nh6x1yjpi,male,40,9,3,Everything worked well.,2,88,40
45,2020/2/25,15a1599pz,female,28,9,8,no,0,87,135
46,2020/2/25,xu6z2g2m1,male,21,5,2,When the money went to 5$ i switched machines.,1,32,20
47,2020/2/25,mkanfupmu,female,25,7,2,nice,0,80,100
48,2020/2/25,n8aumfapg,male,27,8,8,I would like this survey,1,82,140
49,2020/2/25,e9ai1yzp0,female,24,5,6,,0,81,50
50,2020/2/25,x8asys2mw,male,35,5,4,,2,74,20
51,2020/2/25,gi64ffep7,male,54,6,0,,3,70,40
52,2020/2/25,bl6hlg6p7,female,23,5,4,,2,86,40
53,2020/2/25,ij6bpuamn,male,30,10,0,,4,74,20
54,2020/2/25,h2aog3fpo,male,28,6,6,very well the study.,1,85,6
55,2020/2/25,vpaaf6zpo,male,51,8,8,,2,35,30
56,2020/2/25,oka30qbm5,male,43,9,0,,0,69,80
57,2020/2/25,au64n63p0,male,55,8,1,,0,13,10
58,2020/2/25,ieaswf7p7,male,34,10,0,,5,21,20
59,2020/2/25,ap6v7djm3,male,28,9,5,,1,0,455
60,2020/2/25,b9a3pvnpi,male,31,10,2,,3,3,5
61,2020/2/25,vs6us12pp,male,27,8,3,"After a couple tries, I would switch machines after a large payout, figuring I was likely to get a smaller one afterwards from the same machine.",5,92,40
62,2020/2/25,23aqcp4p2,male,32,7,8,Good survey.,5,100,2
63,2020/2/25,dca5xtgm4,male,41,7,1,,1,89,40
64,2020/2/25,606r3bipy,female,50,8,4,,3,64,20
65,2020/2/25,1padnxwmh,male,47,5,0,I did not switch much because I was happy with $5 gains but after I saw that was the lowest prize I regret not switching more as in the video as I never saw a $100 or $140 gain,4,0,20
66,2020/2/25,do64kbjpw,male,32,10,3,"I did not use any strategy, just went with intuition. I think you if you introduce a small bonus that corresponds to how much reward one collects in this game, it would make it more exciting and interesting for the player! good luck!",3,100,80
67,2020/2/25,gkavkylmu,male,46,7,0,"I stuck with the first machine, having no idea if switching machines would help me.",1,80,5
68,2020/2/25,vjar3zfm6,male,66,8,0,,1,100,140
69,2020/2/25,cb6vpspp4,male,27,7,8,very nice,2,34,16
70,2020/2/25,4gath05m1,female,28,10,9,good,5,91,11
71,2020/2/25,l86b980pm,female,23,5,2,,4,74,70
72,2020/2/25,zv669crml,female,50,10,0,Fun and exciting survey to complete. Thank you.,5,85,20
73,2020/2/25,7s6klbnmn,male,33,8,6,INTERESTING ,1,82,20
74,2020/2/25,kharxgpp5,male,24,5,3,,3,58,20
75,2020/2/25,lf60j2bpu,female,29,7,6,,1,84,450
76,2020/2/25,0fa87mnpd,male,36,9,0,,4,56,20
77,2020/2/25,pwaar9upc,female,25,6,2,,3,44,20
78,2020/2/25,6e6u90ip4,male,33,5,5,,0,13,50
79,2020/2/25,qnajxwgp0,female,25,8,3,,3,52,20
80,2020/2/25,z76ncrqpx,male,40,8,2,"I always thought that after $5 there will be a high number behind it so its not wise to switch so I stayed with the same machine and it provided higher payout at the end (even though there were some $5 payments). 

Also, it would be good if you could provide a range of what is the min or max that the machine could provide. I dont remember reading that anywhere. ",5,87,20
81,2020/2/25,bu65mb8ma,male,25,10,5,the drag bar should be clicked then the button is clickable. I dragged the bar the button was grey.,4,78,40
82,2020/2/25,l5ahvcspk,male,25,7,8,grat,3,65,40
83,2020/2/25,57aqhskpi,female,34,6,6,"engaging, difficult",3,62,60
84,2020/2/25,wy6szh5me,male,25,7,4,very nice,4,89,34
85,2020/2/25,zi6znv7mo,female,37,8,2,,4,34,20
86,2020/2/25,ev60j8kpq,female,33,10,1,,2,73,20
87,2020/2/25,bq6rduqpd,male,25,10,10,NO COMMENTS,5,91,275
88,2020/2/25,t86rfa3mp,female,28,5,2,,3,73,40
89,2020/2/25,3g6lmy7pb,female,25,9,1,,0,5,20
90,2020/2/25,pdahi1gpp,female,23,8,7,,4,1,5
91,2020/2/25,xz6syrgpg,male,25,7,2,,0,100,20
92,2020/2/25,ve6om7umy,male,46,7,9,,4,29,250
93,2020/2/25,byapcmvpe,male,51,6,5,,1,8,10
94,2020/2/25,ye6u8bep9,male,25,5,5,,1,25,60
95,2020/2/25,9ia19vvmw,female,34,8,0,,1,96,40
96,2020/2/25,wl6b0r6mj,male,26,10,4,none,0,100,80
97,2020/2/25,4x6sbrvm8,male,33,8,7,,2,67,195
98,2020/2/25,jn6n1wema,male,30,10,3,,4,45,40
99,2020/2/25,b0a8fpjm3,male,36,7,5,,2,56,20
100,2020/2/25,uoan990p2,male,37,10,0,,3,100,10
101,2020/2/25,qjaon6om6,male,32,7,6,,5,67,60
102,2020/2/25,jiag0kim9,male,25,10,6,good,3,71,60
103,2020/2/25,m86qv0xpi,female,49,9,7,,3,83,400
104,2020/2/25,hy6v92opb,female,41,5,0,none,3,47,20
105,2020/2/25,wo6io7um5,female,50,8,0,This survey is awesome.,1,51,80
106,2020/2/25,d9av3n1p8,female,27,8,9,NICE,2,70,34
107,2020/2/25,njaopmpmx,female,32,9,1,,1,5,60
108,2020/2/25,n86rrwumz,female,47,9,0,,5,90,40
109,2020/2/25,8dawbd7mj,male,25,10,6,,0,19,5
110,2020/2/25,ac6mw7hpk,female,36,10,4,,1,29,50
111,2020/2/25,ez67i41ma,female,36,10,0,,3,78,80
112,2020/2/25,pdarr7fms,female,41,9,1,"I just went for it, what do I have to lose. Thanks!",3,35,20
113,2020/2/25,obahfcwp8,male,25,10,5,,5,0,20
114,2020/2/25,g0as2owm8,male,40,2,5,,4,75,170
